NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","532","2383","30","367","0.94661921708185","0.591768631813126","0.728268309377139"
"Fold","42","423","11","55","0.792452830188679","0.43298969072165","0.56"
"Fold","40","218","1","101","0.975609756097561","0.283687943262411","0.43956043956044"
"Fold","197","155","109","67","0.643790849673203","0.746212121212121","0.691228070175439"
"Fold","86","244","113","36","0.4321608040201","0.704918032786885","0.53582554517134"
"Fold","23","86","3","40","0.884615384615385","0.365079365079365","0.51685393258427"
"Fold","13","107","6","16","0.684210526315789","0.448275862068966","0.541666666666667"
"Fold","4","265","0","94","1","0.0408163265306122","0.0784313725490196"
"Fold","7","133","2","12","0.777777777777778","0.368421052631579","0.5"
"Fold","3","141","15","9","0.166666666666667","0.25","0.2"
"Fold","4","415","1","59","0.8","0.0634920634920635","0.117647058823529"
"CV Avg","41.9","218.7","26.1","48.9","0.715728459535516","0.370389245778565","0.41812130855307"
"Test","542","2368","45","357","0.923339011925043","0.602892102335929","0.729475100942127"
