NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","585","2360","53","314","0.91692789968652","0.650723025583982","0.761223162003904"
"Fold","44","395","39","53","0.530120481927711","0.45360824742268","0.488888888888889"
"Fold","70","210","9","71","0.886075949367089","0.49645390070922","0.636363636363636"
"Fold","205","210","54","59","0.791505791505791","0.776515151515151","0.783938814531549"
"Fold","35","343","14","87","0.714285714285714","0.286885245901639","0.409356725146199"
"Fold","42","80","9","21","0.823529411764706","0.666666666666667","0.736842105263158"
"Fold","16","112","1","13","0.941176470588235","0.551724137931034","0.695652173913043"
"Fold","72","253","12","26","0.857142857142857","0.73469387755102","0.791208791208791"
"Fold","11","117","18","8","0.379310344827586","0.578947368421053","0.458333333333333"
"Fold","6","151","5","6","0.545454545454545","0.5","0.521739130434783"
"Fold","21","404","12","42","0.636363636363636","0.333333333333333","0.4375"
"CV Avg","52.2","227.5","17.3","38.6","0.710496520322787","0.53788279294518","0.595982359908338"
"Test","649","2337","76","250","0.895172413793103","0.721913236929922","0.799261083743842"
