NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","589","2355","58","310","0.910355486862442","0.655172413793103","0.761966364812419"
"Fold","41","422","12","56","0.773584905660377","0.422680412371134","0.546666666666667"
"Fold","39","218","1","102","0.975","0.276595744680851","0.430939226519337"
"Fold","201","207","57","63","0.779069767441861","0.761363636363636","0.770114942528736"
"Fold","83","243","114","39","0.421319796954315","0.680327868852459","0.520376175548589"
"Fold","42","82","7","21","0.857142857142857","0.666666666666667","0.75"
"Fold","14","107","6","15","0.7","0.482758620689655","0.571428571428571"
"Fold","4","265","0","94","1","0.0408163265306122","0.0784313725490196"
"Fold","9","134","1","10","0.9","0.473684210526316","0.620689655172414"
"Fold","3","149","7","9","0.3","0.25","0.272727272727273"
"Fold","4","415","1","59","0.8","0.0634920634920635","0.117647058823529"
"CV Avg","44","224.2","20.6","46.8","0.750611732719941","0.411838555017339","0.467902094196414"
"Test","541","2358","55","358","0.907718120805369","0.601779755283648","0.723745819397993"
