NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","578","2375","38","321","0.938311688311688","0.64293659621802","0.763036303630363"
"Fold","45","409","25","52","0.642857142857143","0.463917525773196","0.538922155688623"
"Fold","63","215","4","78","0.940298507462687","0.446808510638298","0.605769230769231"
"Fold","213","231","33","51","0.865853658536585","0.806818181818182","0.835294117647059"
"Fold","39","349","8","83","0.829787234042553","0.319672131147541","0.461538461538462"
"Fold","42","83","6","21","0.875","0.666666666666667","0.756756756756757"
"Fold","15","111","2","14","0.882352941176471","0.517241379310345","0.652173913043478"
"Fold","72","260","5","26","0.935064935064935","0.73469387755102","0.822857142857143"
"Fold","12","120","15","7","0.444444444444444","0.631578947368421","0.521739130434783"
"Fold","4","153","3","8","0.571428571428571","0.333333333333333","0.421052631578947"
"Fold","22","412","4","41","0.846153846153846","0.349206349206349","0.49438202247191"
"CV Avg","52.7","234.3","10.5","38.1","0.783324128116723","0.526993690281335","0.611048556278639"
"Test","646","2372","41","253","0.940320232896652","0.718576195773081","0.814627994955864"
