NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","537","2390","23","362","0.958928571428571","0.597330367074527","0.736120630568883"
"Fold","43","409","25","54","0.632352941176471","0.443298969072165","0.521212121212121"
"Fold","65","208","11","76","0.855263157894737","0.460992907801418","0.599078341013825"
"Fold","231","194","70","33","0.767441860465116","0.875","0.817699115044248"
"Fold","25","309","48","97","0.342465753424658","0.204918032786885","0.256410256410256"
"Fold","34","86","3","29","0.918918918918919","0.53968253968254","0.68"
"Fold","4","113","0","25","1","0.137931034482759","0.242424242424242"
"Fold","61","263","2","37","0.968253968253968","0.622448979591837","0.75776397515528"
"Fold","8","135","0","11","1","0.421052631578947","0.592592592592593"
"Fold","1","156","0","11","1","0.0833333333333333","0.153846153846154"
"Fold","11","402","14","52","0.44","0.174603174603175","0.25"
"CV Avg","48.3","227.5","17.3","42.5","0.792469660013387","0.396326160293306","0.487102679769872"
"Test","541","2377","36","358","0.937608318890815","0.601779755283648","0.733062330623306"
