NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","585","2355","58","314","0.909797822706065","0.650723025583982","0.75875486381323"
"Fold","56","361","73","41","0.434108527131783","0.577319587628866","0.495575221238938"
"Fold","47","216","3","94","0.94","0.333333333333333","0.492146596858639"
"Fold","244","129","135","20","0.643799472295514","0.924242424242424","0.758942457231726"
"Fold","86","243","114","36","0.43","0.704918032786885","0.53416149068323"
"Fold","42","82","7","21","0.857142857142857","0.666666666666667","0.75"
"Fold","15","107","6","14","0.714285714285714","0.517241379310345","0.6"
"Fold","74","230","35","24","0.678899082568807","0.755102040816326","0.714975845410628"
"Fold","8","128","7","11","0.533333333333333","0.421052631578947","0.470588235294118"
"Fold","3","139","17","9","0.15","0.25","0.1875"
"Fold","4","416","0","59","1","0.0634920634920635","0.119402985074627"
"CV Avg","57.9","205.1","39.7","32.9","0.638156898675801","0.521336815985586","0.512329283179191"
"Test","556","2361","52","343","0.914473684210526","0.618464961067853","0.737889847378898"
