NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","571","2373","40","328","0.934533551554828","0.635150166852058","0.756291390728477"
"Fold","46","395","39","51","0.541176470588235","0.474226804123711","0.505494505494505"
"Fold","63","215","4","78","0.940298507462687","0.446808510638298","0.605769230769231"
"Fold","222","231","33","42","0.870588235294118","0.840909090909091","0.855491329479769"
"Fold","42","345","12","80","0.777777777777778","0.344262295081967","0.477272727272727"
"Fold","42","79","10","21","0.807692307692308","0.666666666666667","0.730434782608696"
"Fold","15","109","4","14","0.789473684210526","0.517241379310345","0.625"
"Fold","71","256","9","27","0.8875","0.724489795918367","0.797752808988764"
"Fold","12","123","12","7","0.5","0.631578947368421","0.558139534883721"
"Fold","4","153","3","8","0.571428571428571","0.333333333333333","0.421052631578947"
"Fold","23","410","6","40","0.793103448275862","0.365079365079365","0.5"
"CV Avg","54","231.6","13.2","36.8","0.747903900273008","0.534459618842956","0.607640755107636"
"Test","594","2383","30","305","0.951923076923077","0.660734149054505","0.780039395929087"
